            IDF1    IDP    IDR   Rcll   Prcn  GT  MT  PT ML   FP    FN  IDs    FM   MOTA  MOTP  IDt IDa IDm
0046       81.2%  91.7%  72.9%  75.7%  95.2%  13   8   4  1   83   528    2   146  71.8% 0.166    2   1   1
0047       37.3%  41.8%  33.6%  78.7%  97.9%  25  17   5  3   28   351  132    47  69.0% 0.147  121  13   5
0051       90.8%  96.1%  86.1%  87.9%  98.1%  15  11   4  0   50   361   10    87  85.9% 0.149    7   4   1
0054       78.0%  83.4%  73.4%  85.4%  97.1%  18  14   3  1   85   486   33   105  81.9% 0.136   25  10   3
0055       81.4%  96.9%  70.2%  70.7%  97.6%   8   5   2  1   27   459    1    97  68.9% 0.137    1   1   1
0058       73.6%  83.1%  66.0%  77.7%  97.8%  11   9   1  1   49   627    8    95  75.7% 0.141    5   2   1
0062       95.7%  98.8%  92.8%  92.8%  98.8%   6   5   1  0   12    74    0    24  91.6% 0.139    0   0   0
0067       70.3%  73.1%  67.8%  91.9%  99.2%  14  12   2  0   19   198   30    77  89.9% 0.154    6  23   0
0069       54.2%  59.3%  49.9%  82.6%  98.3%   7   5   2  0   32   380   12   131  80.6% 0.119    5   5   0
0081      100.0% 100.0% 100.0% 100.0% 100.0%   1   1   0  0    0     0    0     0 100.0% 0.149    0   0   0
0086       69.1%  85.5%  58.0%  58.5%  86.2%   2   1   0  1   21    93    1    12  48.7% 0.141    0   1   0
0087       79.5%  80.8%  78.3%  94.6%  97.6%   2   2   0  0    3     7    1     4  91.5% 0.101    0   1   0
0088      100.0% 100.0% 100.0% 100.0% 100.0%   1   1   0  0    0     0    0     0 100.0% 0.097    0   0   0
0089       84.7%  86.7%  82.7%  95.3% 100.0%   6   5   1  0    0    13    2     2  94.6% 0.133    0   2   0
0090       83.2%  86.3%  80.3%  93.1% 100.0%   5   4   1  0    0    13    3     4  91.5% 0.079    3   0   0
0091       48.0%  50.3%  45.9%  90.5%  99.2%  13  10   3  0   13   174   89    63  84.9% 0.116   54  26   3
0092       37.8%  43.2%  33.6%  72.3%  93.0%   4   2   2  0   65   328   46    96  63.0% 0.224   16  19   0
0093       98.6%  99.3%  97.9%  97.9%  99.3%   2   2   0  0    3     9    0     6  97.2% 0.139    0   0   0
0096       77.2%  92.9%  66.1%  66.1%  92.9%   2   1   1  0   12    80    0    24  61.0% 0.164    0   0   0
0129       45.7%  65.9%  34.9%  53.0% 100.0%   2   1   0  1    0    78    1     0  52.4% 0.064    0   1   0
0131       75.4%  76.2%  74.5%  90.9%  93.1%   8   6   2  0   50    67    6    40  83.3% 0.195    2   4   0
0137       93.6%  93.6%  93.6%  93.6%  93.6%   1   1   0  0    5     5    0     1  87.2% 0.092    0   0   0
0143       95.3%  98.9%  91.9%  92.1%  99.2%  11  10   0  1    4    40    1     8  91.1% 0.165    1   1   1
0145       82.3%  92.3%  74.3%  74.3%  92.3%   5   3   1  1   30   124    0    29  68.0% 0.156    0   0   0
0146       59.7%  61.7%  57.8%  91.9%  98.1%  15  13   1  1   11    49   64    24  79.5% 0.145   45  18   5
0151       52.5%  53.3%  51.7%  92.1%  95.0%  12  10   2  0   24    39   49    14  77.4% 0.143   30  12   2
0153       33.0%  34.6%  31.5%  74.1%  81.5%  15   5  10  0  343   528   84   139  53.2% 0.208   61  21   5
0155       82.2%  89.6%  75.9%  83.9%  98.9%  16  12   2  2   35   627   10   151  82.7% 0.146   10   2   2
0157       48.4%  53.9%  43.8%  77.9%  95.9%  20  14   3  3   96   641  181   165  68.4% 0.158  124  34   8
0158       37.6%  40.3%  35.3%  86.3%  98.4%  21  17   3  1   39   381  128   137  80.3% 0.139   69  43   8
0163       66.3%  81.2%  56.1%  67.7%  98.0%  17  10   5  2   43  1022   80   275  63.8% 0.193   57  17   7
0166       56.4%  62.2%  51.6%  81.8%  98.7%   9   6   2  1    9   149   21    33  78.1% 0.087   13   8   1
0176       47.2%  50.8%  44.0%  80.9%  93.4%  18   9   9  0   29    97   43    22  66.8% 0.123   17  30   4
0177       45.7%  58.1%  37.7%  64.3%  99.1%  21   8   5  8    6   366   52    26  58.6% 0.123   39  20   9
0181       20.5%  30.8%  15.3%  48.0%  96.4%  46  11  28  7   82  2408  705   541  31.0% 0.191  677  31  26
OVERALL    66.1%  73.2%  60.2%  79.7%  96.9% 636 411 171 54 1832 14467 2520  3579  73.6%   NaN 2019 476 157
